ID;Nº Fogo;Data Operação;Operação; Km Pneu;Veículo ;Km Veículo
6;2424;07/11/2023;Rodízio;29100; ROQ-3J14; 30000;
5;0123;07/11/2023;Suco;77050; OJI-0891; 25000;
