ID;Data Inventario; Volume Anterior(Litros); Volume Inventaridado (Litros); Volume Divergente(Litros);Usuário que Lançou
1;03/01/2023;0,00;1.000,00;0,00;Andre Santos
2;04/01/2023;26.884,29;16.000,00;10.884,29;Andre Santos
